shared once time: 0.23232245445251465s,token_num:3799, throughput: 0.4688523468671584 GB/s
shared once time: 0.052407264709472656s,token_num:4161, throughput: 2.2764819469472455 GB/s
shared once time: 0.0578455924987793s,token_num:4427, throughput: 2.1943062300326273 GB/s
shared once time: 0.04959392547607422s,token_num:3025, throughput: 1.7488593445147396 GB/s
shared once time: 0.0768136978149414s,token_num:4274, throughput: 1.5953421262862746 GB/s
shared once time: 0.06856322288513184s,token_num:3636, throughput: 1.5205147543116335 GB/s
shared once time: 0.07999491691589355s,token_num:4387, throughput: 1.5724007080631015 GB/s
shared once time: 0.08064723014831543s,token_num:3994, throughput: 1.419961575734192 GB/s
shared once time: 0.06120491027832031s,token_num:3584, throughput: 1.67895757926467 GB/s
shared once time: 0.06845664978027344s,token_num:4332, throughput: 1.8143906311318156 GB/s
shared once time: 0.2071058750152588s,token_num:4321, throughput: 0.5982047201262258 GB/s
shared once time: 0.037711143493652344s,token_num:3639, throughput: 2.7667526978481143 GB/s
shared once time: 0.047289133071899414s,token_num:4011, throughput: 2.4319200740082585 GB/s
shared once time: 0.07653975486755371s,token_num:3723, throughput: 1.3946459089752203 GB/s
shared once time: 0.07445716857910156s,token_num:4897, throughput: 1.8857389648229115 GB/s
shared once time: 0.0619807243347168s,token_num:3773, throughput: 1.7453725680228338 GB/s
shared once time: 0.07191729545593262s,token_num:3935, throughput: 1.5688064920229543 GB/s
shared once time: 0.07144427299499512s,token_num:4238, throughput: 1.7007932323492503 GB/s
shared once time: 0.04372739791870117s,token_num:2616, throughput: 1.71530792066458 GB/s
shared once time: 0.06058192253112793s,token_num:3567, throughput: 1.6881772602619296 GB/s
e2e shared once time: 0.21079039573669434s,token_num:4071, throughput: 0.5537430279594127 GB/s
e2e shared once time: 0.043904781341552734s,token_num:3214, throughput: 2.098901422219017 GB/s
e2e shared once time: 0.050333261489868164s,token_num:3323, throughput: 1.8929243442565071 GB/s
e2e shared once time: 0.07249784469604492s,token_num:3924, throughput: 1.5518934179589183 GB/s
e2e shared once time: 0.06143641471862793s,token_num:3729, throughput: 1.7403015538857898 GB/s
e2e shared once time: 0.07898211479187012s,token_num:4524, throughput: 1.6422974788888747 GB/s
e2e shared once time: 0.05564594268798828s,token_num:3542, throughput: 1.8250427451545699 GB/s
e2e shared once time: 0.06687355041503906s,token_num:4297, throughput: 1.8423365177317248 GB/s
e2e shared once time: 0.06888818740844727s,token_num:3074, throughput: 1.2794316604299607 GB/s
e2e shared once time: 0.06284093856811523s,token_num:4099, throughput: 1.8702223531020208 GB/s
e2e shared once time: 0.4684908390045166s,token_num:4281, throughput: 0.2620004955930774 GB/s
e2e shared once time: 0.058602094650268555s,token_num:3881, throughput: 1.8988405220680973 GB/s
e2e shared once time: 0.04345393180847168s,token_num:3274, throughput: 2.1602677615860504 GB/s
e2e shared once time: 0.06477928161621094s,token_num:4207, throughput: 1.8620630082722964 GB/s
e2e shared once time: 0.06457996368408203s,token_num:3416, throughput: 1.5166244514959613 GB/s
e2e shared once time: 0.057280778884887695s,token_num:4046, throughput: 2.0252327963823467 GB/s
e2e shared once time: 0.05901956558227539s,token_num:3873, throughput: 1.8815227612137704 GB/s
e2e shared once time: 0.05340099334716797s,token_num:3443, throughput: 1.8486116046235557 GB/s
e2e shared once time: 0.059526681900024414s,token_num:3098, throughput: 1.492202373201043 GB/s
e2e shared once time: 0.09801363945007324s,token_num:3823, throughput: 1.1183449223496629 GB/s
e2e shared once time: 0.21212315559387207s,token_num:4097, throughput: 0.5537782222366369 GB/s
e2e shared once time: 0.052839040756225586s,token_num:3741, throughput: 2.0299753830667755 GB/s
e2e shared once time: 0.05765104293823242s,token_num:4193, throughput: 2.085334277973185 GB/s
e2e shared once time: 0.04636573791503906s,token_num:3224, throughput: 1.993681803779012 GB/s
e2e shared once time: 0.06555509567260742s,token_num:3694, throughput: 1.6156542357737256 GB/s
e2e shared once time: 0.06302452087402344s,token_num:4268, throughput: 1.9416584894727476 GB/s
e2e shared once time: 0.08237981796264648s,token_num:3718, throughput: 1.2940365569675916 GB/s
e2e shared once time: 0.07691359519958496s,token_num:4800, throughput: 1.7893533599992562 GB/s
e2e shared once time: 0.06880903244018555s,token_num:4114, throughput: 1.7142605239005149 GB/s
e2e shared once time: 0.0619659423828125s,token_num:3401, throughput: 1.5736623740438316 GB/s
e2e shared once time: 0.40677332878112793s,token_num:3763, throughput: 0.2652404382639692 GB/s
e2e shared once time: 0.04030489921569824s,token_num:4078, throughput: 2.9009976026551985 GB/s
e2e shared once time: 0.0606076717376709s,token_num:4874, throughput: 2.3057696161778076 GB/s
e2e shared once time: 0.06421279907226562s,token_num:3993, throughput: 1.782935764428444 GB/s
e2e shared once time: 0.06556940078735352s,token_num:3893, throughput: 1.7023199031815517 GB/s
e2e shared once time: 0.05310177803039551s,token_num:4203, throughput: 2.2693857055223434 GB/s
e2e shared once time: 0.07918238639831543s,token_num:4048, throughput: 1.4657837592334704 GB/s
e2e shared once time: 0.04600048065185547s,token_num:3646, throughput: 2.272543906468581 GB/s
e2e shared once time: 0.08150315284729004s,token_num:4006, throughput: 1.409271028020348 GB/s
e2e shared once time: 0.09021329879760742s,token_num:4352, throughput: 1.3831723888064866 GB/s
e2e shared once time: 0.28437161445617676s,token_num:3289, throughput: 0.33161610795908925 GB/s
e2e shared once time: 0.09892010688781738s,token_num:3929, throughput: 1.13882092876988 GB/s
e2e shared once time: 0.04735112190246582s,token_num:4487, throughput: 2.7169633755457117 GB/s
e2e shared once time: 0.04694795608520508s,token_num:2967, throughput: 1.8120027173410524 GB/s
e2e shared once time: 0.04511833190917969s,token_num:3891, throughput: 2.4726701382615093 GB/s
e2e shared once time: 0.08140873908996582s,token_num:3372, throughput: 1.1876118593748948 GB/s
e2e shared once time: 0.07209086418151855s,token_num:4103, throughput: 1.6318463835277324 GB/s
e2e shared once time: 0.04595756530761719s,token_num:3819, throughput: 2.382597234363312 GB/s
e2e shared once time: 0.06134653091430664s,token_num:4164, throughput: 1.9461607073882148 GB/s
e2e shared once time: 0.07210016250610352s,token_num:3439, throughput: 1.3675837137212128 GB/s
e2e shared once time: 0.30582261085510254s,token_num:4653, throughput: 0.4362359461485648 GB/s
e2e shared once time: 0.04375290870666504s,token_num:4252, throughput: 2.7864054666022353 GB/s
e2e shared once time: 0.045413970947265625s,token_num:3027, throughput: 1.911089080952205 GB/s
e2e shared once time: 0.042589664459228516s,token_num:3639, throughput: 2.4498293030667844 GB/s
e2e shared once time: 0.06547188758850098s,token_num:4365, throughput: 1.911557534229104 GB/s
e2e shared once time: 0.053737640380859375s,token_num:4158, throughput: 2.218522718062327 GB/s
e2e shared once time: 0.04874444007873535s,token_num:2992, throughput: 1.75992633952573 GB/s
e2e shared once time: 0.04153728485107422s,token_num:3416, throughput: 2.357967121615245 GB/s
e2e shared once time: 0.0413815975189209s,token_num:3829, throughput: 2.6529929867932958 GB/s
e2e shared once time: 0.04683232307434082s,token_num:3935, throughput: 2.409112181364666 GB/s
e2e shared once time: 0.4372379779815674s,token_num:3913, throughput: 0.2565960452884761 GB/s
e2e shared once time: 0.20944690704345703s,token_num:3263, throughput: 0.44668473419179405 GB/s
e2e shared once time: 0.03530573844909668s,token_num:3642, throughput: 2.9576898427023766 GB/s
e2e shared once time: 0.041800498962402344s,token_num:4260, throughput: 2.922039761053136 GB/s
e2e shared once time: 0.06662297248840332s,token_num:4001, throughput: 1.721878621071254 GB/s
e2e shared once time: 0.06955575942993164s,token_num:3341, throughput: 1.377213803502485 GB/s
e2e shared once time: 0.07344341278076172s,token_num:3708, throughput: 1.4475876320912078 GB/s
e2e shared once time: 0.04727649688720703s,token_num:3765, throughput: 2.283377303896879 GB/s
e2e shared once time: 0.054486989974975586s,token_num:3568, throughput: 1.877543539237246 GB/s
e2e shared once time: 0.09835982322692871s,token_num:3865, throughput: 1.126651882489971 GB/s
e2e shared once time: 0.06542348861694336s,token_num:3864, throughput: 1.693407220282472 GB/s
e2e shared once time: 0.3901827335357666s,token_num:3072, throughput: 0.22574136790172955 GB/s
e2e shared once time: 0.32392048835754395s,token_num:3808, throughput: 0.33706721224587577 GB/s
e2e shared once time: 0.17585110664367676s,token_num:4250, throughput: 0.6929498615377733 GB/s
e2e shared once time: 0.014005422592163086s,token_num:3358, throughput: 6.874521305331767 GB/s
e2e shared once time: 0.017934799194335938s,token_num:4406, throughput: 7.043782906691057 GB/s
e2e shared once time: 0.044867753982543945s,token_num:3639, throughput: 2.3254430796913312 GB/s
e2e shared once time: 0.015156269073486328s,token_num:3355, throughput: 6.346849579774107 GB/s
e2e shared once time: 0.01832103729248047s,token_num:4179, throughput: 6.540038431621883 GB/s
e2e shared once time: 0.019276857376098633s,token_num:3100, throughput: 4.610876050273954 GB/s
e2e shared once time: 0.033202171325683594s,token_num:3914, throughput: 3.379965933528881 GB/s
e2e shared once time: 0.0238492488861084s,token_num:4048, throughput: 4.8665790924595775 GB/s
e2e shared once time: 0.01582956314086914s,token_num:3435, throughput: 6.221796465483026 GB/s
e2e shared once time: 0.16747093200683594s,token_num:3690, throughput: 0.6317495145705727 GB/s
e2e shared once time: 0.18329763412475586s,token_num:3756, throughput: 0.5875254883361056 GB/s
e2e shared once time: 0.2932755947113037s,token_num:3527, throughput: 0.3448160904747193 GB/s
e2e shared once time: 0.021236896514892578s,token_num:4025, throughput: 5.434165011778971 GB/s
e2e shared once time: 0.0037512779235839844s,token_num:3782, throughput: 28.906816879192576 GB/s
e2e shared once time: 0.004042387008666992s,token_num:3661, throughput: 25.966883372360247 GB/s
e2e shared once time: 0.0032401084899902344s,token_num:3947, throughput: 34.92734405332862 GB/s
e2e shared once time: 0.0037276744842529297s,token_num:3647, throughput: 28.05147939867835 GB/s
e2e shared once time: 0.0036361217498779297s,token_num:3935, throughput: 31.02875199483837 GB/s
e2e shared once time: 0.004623889923095703s,token_num:3522, throughput: 21.839357268347737 GB/s
e2e shared once time: 0.0038824081420898438s,token_num:3831, throughput: 28.29234536399705 GB/s
e2e shared once time: 0.004674673080444336s,token_num:3311, throughput: 20.307942473482328 GB/s
e2e shared once time: 0.003806591033935547s,token_num:3911, throughput: 29.458429077437554 GB/s
e2e shared once time: 0.04271292686462402s,token_num:4037, throughput: 2.7099258350255147 GB/s
e2e shared once time: 0.0034546852111816406s,token_num:3278, throughput: 27.205609268189374 GB/s
e2e shared once time: 0.003019571304321289s,token_num:3744, throughput: 35.55073127313636 GB/s
e2e shared once time: 0.01973128318786621s,token_num:3766, throughput: 5.472464764298843 GB/s
e2e shared once time: 0.004503726959228516s,token_num:5007, throughput: 31.87597856167369 GB/s
e2e shared once time: 0.004881858825683594s,token_num:3962, throughput: 23.269510253421373 GB/s
e2e shared once time: 0.0045413970947265625s,token_num:3608, throughput: 22.779020165429653 GB/s
e2e shared once time: 0.004625082015991211s,token_num:2905, throughput: 18.008796322317647 GB/s
e2e shared once time: 0.005171537399291992s,token_num:4628, throughput: 25.658523907835693 GB/s
e2e shared once time: 0.003295421600341797s,token_num:3894, throughput: 33.87996485439676 GB/s
e2e shared once time: 0.183091402053833s,token_num:3895, throughput: 0.6099545841435214 GB/s
e2e shared once time: 0.028908729553222656s,token_num:3564, throughput: 3.5348149012175636 GB/s
e2e shared once time: 0.015564918518066406s,token_num:3294, throughput: 6.067848533249679 GB/s
e2e shared once time: 0.01473379135131836s,token_num:3549, throughput: 6.906364124051134 GB/s
e2e shared once time: 0.017523765563964844s,token_num:3708, throughput: 6.066948088978286 GB/s
e2e shared once time: 0.020336389541625977s,token_num:4597, throughput: 6.481247997842081 GB/s
e2e shared once time: 0.017787456512451172s,token_num:3595, throughput: 5.79486111057234 GB/s
e2e shared once time: 0.016813278198242188s,token_num:4047, throughput: 6.901425327758593 GB/s
e2e shared once time: 0.025868892669677734s,token_num:3611, throughput: 4.0022815557682625 GB/s
e2e shared once time: 0.022475242614746094s,token_num:3667, throughput: 4.678046230789833 GB/s
e2e shared once time: 0.40117740631103516s,token_num:4229, throughput: 0.3022450569062983 GB/s
e2e shared once time: 0.037682294845581055s,token_num:4657, throughput: 3.5434546793706843 GB/s
e2e shared once time: 0.020129919052124023s,token_num:4477, throughput: 6.37680378483467 GB/s
